Livingston;1.822.653
Logan;1.028.400
McDonough;1.182.844
McHenry;10.320.051
McLean;13.291.312
Macon;6.939.925
Macoupin;1.172.784
Madison;10.554.729
Marion;1.220.417
Marshall;423.109
Mason;523.148
Massac;618.776
Menard;235.282
Mercer;425.173
Monroe;874.958
Montgomery;1.147.826
Morgan;1.420.796
Moultrie;613.053
Ogle;2.667.627
Peoria;11.100.268
Perry;570.743
Piatt;523.537
Pike;548.346
Pope;63.232
Pulaski;250.258
Putnam;334.529
Randolph;1.523.888
Richland;575.777
Rock Island;9.339.109
St. Clair;10.625.117
Saline;856.904
Sangamon;10.082.049
Schuyler;276.048
Scott;164.989
Shelby;717.532
Stark;214.617
Stephenson;1.871.381
Tazewell;7.366.346
Union;487.698
Vermilion;3.157.389
Wabash;357.454
Warren;778.702
Washington;799.498
Wayne;414.860
White;562.438
Whiteside;2.005.615
Will;29.400.335
Williamson;2.636.488
Winnebago;12.644.285
Woodford;1.129.376
Adams;1.506.160
Allen;18.393.815
Bartholomew;5.636.580
Benton;449.112
Blackford;292.211
Boone;2.697.300
Brown;237.405
Carroll;563.617
Cass;1.264.270
Clark;4.581.451
Clay;687.894
Clinton;1.367.081
Crawford;173.326
Daviess;1.132.166
Dearborn;1.573.703
Decatur;1.267.125
DeKalb;2.344.487
Delaware;3.609.909
Dubois;2.514.477
Elkhart;13.239.009
Fayette;538.788
Floyd;2.609.183
Fountain;472.866
Franklin;507.234
Fulton;596.924
Gibson;3.006.762
Grant;2.893.355
Greene;594.786
Hamilton;15.712.178
Hancock;2.093.161
Harrison;915.373
Hendricks;5.194.928
Henry;1.077.841
Howard;3.908.923
Huntington;1.329.645
Jackson;2.048.523
Jasper;1.392.103
Jay;882.058
Jefferson;1.316.493
Jennings;631.736
Johnson;4.584.974
Knox;1.797.950
Kosciusko;4.446.374
Lagrange;1.564.108
Lake;24.068.789
LaPorte;3.830.372
Lawrence;1.257.016
Madison;3.355.077
Marion;79.582.589
Marshall;1.515.924
Martin;888.920
Miami;887.256
Monroe;5.745.710
Montgomery;1.588.062
Morgan;1.382.789
Newton;330.582
Noble;1.740.277
Ohio;106.266
Orange;567.159
Owen;436.104
Parke;299.367
Perry;799.048
Pike;740.807
Porter;6.487.294
Posey;1.524.344
Pulaski;573.495
Putnam;989.886
Randolph;705.725
Ripley;1.030.610
Rush;519.313
St. Joseph;12.123.896
Scott;597.113
Shelby;1.769.353
Spencer;1.176.187
Starke;428.590
Steuben;1.198.206
Sullivan;976.113
Switzerland;202.639
Tippecanoe;8.210.141
Tipton;473.843
Union;125.405
Vanderburgh;9.640.996
Vermillion;803.473
Vigo;4.396.614
Wabash;1.123.765
Warren;251.337
Warrick;2.080.780
Washington;574.771
Wayne;2.479.676
Wells;1.076.529
White;947.972
Whitley;1.290.234
Adair;324.551
Adams;252.465
Allamakee;658.968
Appanoose;377.501
Audubon;250.720
Benton;738.200
Black Hawk;6.859.440
Boone;910.353
Bremer;1.034.664
Buchanan;722.906
Buena Vista;1.237.936
Butler;399.376
Calhoun;466.581
Carroll;1.385.883
Cass;607.236
Cedar;582.853
Cerro Gordo;2.463.240
Cherokee;725.661
Chickasaw;732.795
Clarke;380.540
Clay;901.690
Clayton;827.022
Clinton;2.140.696
Crawford;755.488
Dallas;4.370.149
Davis;216.684
Decatur;194.634
Delaware;956.011
Des Moines;2.175.834
Dickinson;867.396
Dubuque;5.414.101
Emmet;347.597
Fayette;740.718
Floyd;816.619
Franklin;612.698
Fremont;295.042
Greene;426.273
Grundy;479.304
Guthrie;474.447
Hamilton;843.161
Hancock;713.852
Hardin;890.174
Harrison;388.759
Henry;841.386
Howard;483.186
Humboldt;479.789
Ida;392.350
Iowa;874.152
Jackson;662.029
Jasper;1.039.324
Jefferson;626.627
Johnson;7.944.342
Jones;605.355
Keokuk;400.425
Kossuth;996.136
Lee;1.750.660
Linn;15.393.187
Louisa;598.650
Lucas;290.175
Lyon;1.007.971
Madison;366.747
Mahaska;798.226
Marion;1.510.398
Marshall;1.662.627
Mills;439.873
Mitchell;640.639
Monona;340.350
Monroe;351.330
Montgomery;395.398
Muscatine;2.491.245
O'Brien;987.417
Osceola;411.424
Page;559.057
Palo Alto;591.561
Plymouth;1.398.381
Pocahontas;736.325
Polk;37.742.546
Pottawattamie;3.983.149
Poweshiek;1.012.561
Ringgold;174.009
Sac;580.404
Scott;8.170.168
Shelby;677.141
Sioux;2.491.152
Story;4.682.256
Tama;599.376
Taylor;200.659
Union;518.135
Van Buren;204.760
Wapello;1.540.009
Warren;1.008.622
Washington;1.029.559
Wayne;201.400
Webster;2.119.053
Winnebago;390.825
Winneshiek;1.026.113
Woodbury;4.985.726
Worth;340.798
Wright;772.985
Allen;465.554
Anderson;286.078
Atchison;576.492
Barber;234.765
Barton;1.260.410
Bourbon;579.275
Brown;429.143
Butler;2.218.390
Chase;115.719
Chautauqua;75.182
Cherokee;601.299
Cheyenne;125.038
Clark;153.042
Clay;248.704
Cloud;349.492
Coffey;832.054
Comanche;70.203
Cowley;1.276.136
Crawford;1.374.276
Decatur;199.808
Dickinson;578.589
Doniphan;234.792
Douglas;4.306.864
Edwards;272.087
Elk;87.647
Ellis;1.496.851
Ellsworth;237.239
Finney;2.204.081
Ford;1.849.819
Franklin;820.301
Geary;2.618.150
Gove;235.682
Graham;124.906
Grant;752.540
Gray;974.935
Greeley;127.374
Greenwood;161.597
Hamilton;287.080
Harper;326.415
Harvey;1.106.508
Haskell;583.812
Hodgeman;179.628
